theta,Or,radio_mayor,TSR,Cp
65,0.2,140,0.5,0.066
40,0.3,200,0.2,0.0631
90,0.2,200,0.8,0.0102
65,0.2,170,0.7,0.0812
40,0.2,200,0.6,0.1092
65,0.3,140,0.6,0.0477
65,0.1,140,0.4,0.0824
90,0.2,200,0.5,0.0793
65,0.3,140,0.2,0.0562
65,0.2,200,0.3,0.0798
90,0.3,170,0.5,0.071
90,0.2,140,0.6,0.0682
90,0.2,200,0.7,0.0446
40,0.3,200,0.5,0.0999
90,0.3,170,0.2,0.0571
40,0.3,200,0.6,0.0942
65,0.2,170,0.8,0.0462
90,0.1,170,0.4,0.0835
90,0.1,200,0.7,0.0585
40,0.1,170,0.7,0.0915
90,0.1,170,0.1,0.0285
65,0.3,200,0.4,0.0826
90,0.1,170,0.8,0.0296
65,0.2,200,0.1,0.0306
90,0.2,170,0.1,0.0304
90,0.3,140,0.3,0.0735
90,0.3,170,0.7,0.0229
40,0.2,170,0.3,0.0794
90,0.3,140,0.8,-0.0115
90,0.3,140,0.5,0.0746
65,0.2,200,0.6,0.0872
40,0.1,170,0.8,0.0706
90,0.1,140,0.6,0.0683
40,0.3,140,0.8,0.0166
40,0.3,140,0.4,0.0768
65,0.2,200,0.7,0.0708
90,0.3,170,0.4,0.0775
40,0.2,170,0.6,0.0906
40,0.2,200,0.1,0.0306
40,0.2,140,0.7,0.036
65,0.3,200,0.3,0.0751
65,0.3,140,0.5,0.0687
90,0.3,140,0.4,0.0804
40,0.3,140,0.7,0.0232
90,0.2,140,0.8,0.0055
40,0.1,170,0.4,0.0942
90,0.2,140,0.3,0.074
90,0.1,170,0.2,0.0539
90,0.2,140,0.4,0.0829
40,0.2,140,0.2,0.054
90,0.2,170,0.5,0.0809
90,0.2,170,0.6,0.0662
40,0.1,200,0.8,0.0932
90,0.2,140,0.1,0.0294
65,0.1,140,0.5,0.0803
90,0.2,200,0.2,0.0557
65,0.2,140,0.1,0.0288
40,0.3,200,0.8,0.0468
65,0.2,200,0.4,0.0916
40,0.3,200,0.7,0.0747
65,0.3,170,0.6,0.0508
65,0.2,170,0.5,0.104
65,0.3,140,0.7,0.0192
90,0.2,200,0.4,0.0803
90,0.2,140,0.2,0.0549
40,0.3,200,0.1,0.0348
90,0.1,140,0.3,0.0721
90,0.1,200,0.1,0.0281
40,0.1,170,0.2,0.0554
90,0.1,200,0.2,0.0536
90,0.1,170,0.6,0.0772
90,0.3,170,0.6,0.0554
65,0.2,170,0.2,0.064
65,0.3,170,0.7,0.0218
90,0.1,140,0.4,0.0804
90,0.2,140,0.7,0.0421
90,0.1,170,0.5,0.0861
65,0.2,170,0.4,0.1024
65,0.2,140,0.8,-0.019
40,0.3,140,0.6,0.0482
65,0.3,140,0.1,0.0306
40,0.2,200,0.5,0.1114
40,0.3,140,0.2,0.058
40,0.1,200,0.3,0.0852
90,0.3,140,0.2,0.0551
90,0.3,170,0.8,-0.0146
65,0.1,140,0.1,0.0276
90,0.3,170,0.1,0.0315
40,0.1,200,0.4,0.1072
40,0.2,140,0.6,0.0622
40,0.2,200,0.7,0.0962
40,0.3,140,0.3,0.0748
40,0.2,170,0.1,0.0316
40,0.2,170,0.8,0.0462
65,0.3,200,0.7,0.0465
65,0.3,200,0.1,0.0323
65,0.2,140,0.3,0.068
40,0.2,170,0.7,0.0739
40,0.3,200,0.4,0.0967
65,0.3,140,0.4,0.0762
90,0.3,170,0.3,0.0727
90,0.2,170,0.4,0.0817
65,0.1,140,0.3,0.0722
90,0.1,200,0.5,0.0817
90,0.1,140,0.7,0.0472
65,0.3,170,0.2,0.0555
90,0.1,170,0.3,0.0735
65,0.2,170,0.1,0.0332
40,0.2,140,0.4,0.0764
40,0.1,200,0.2,0.0584
90,0.1,170,0.7,0.0578
40,0.2,170,0.2,0.0585
65,0.3,170,0.4,0.0762
65,0.3,170,0.3,0.0721
40,0.3,200,0.3,0.0832
90,0.1,200,0.8,0.0306
90,0.2,200,0.6,0.0673
40,0.2,170,0.4,0.0918
65,0.1,140,0.2,0.0522
90,0.2,200,0.1,0.0305
90,0.2,170,0.8,0.005
40,0.1,200,0.7,0.1212
40,0.2,200,0.3,0.0848
40,0.2,140,0.5,0.0737
65,0.3,200,0.2,0.0576
40,0.2,200,0.2,0.0596
40,0.1,200,0.1,0.0288
65,0.2,200,0.2,0.0582
65,0.3,200,0.6,0.0681
40,0.2,200,0.4,0.1036
40,0.2,140,0.1,0.03
65,0.1,140,0.7,0.05
40,0.3,140,0.5,0.0638
40,0.1,170,0.3,0.0781
40,0.1,170,0.1,0.0288
40,0.1,200,0.6,0.1266
40,0.2,140,0.3,0.0704
65,0.3,200,0.5,0.0813
40,0.2,140,0.8,0.0036
65,0.2,200,0.8,0.067
90,0.1,200,0.4,0.082
65,0.2,140,0.6,0.0484
65,0.3,170,0.8,-0.0195
40,0.1,170,0.5,0.1037
65,0.3,140,0.8,-0.0247
65,0.3,200,0.8,0.0124
90,0.2,200,0.3,0.0738
90,0.2,170,0.3,0.0743
90,0.3,140,0.6,0.056
65,0.1,140,0.6,0.0716
65,0.3,140,0.3,0.0739
90,0.1,200,0.3,0.07
65,0.2,170,0.6,0.0982
65,0.3,170,0.1,0.0308
40,0.1,200,0.5,0.118
65,0.2,140,0.2,0.0524
65,0.2,170,0.3,0.0894
90,0.1,140,0.5,0.0814
65,0.1,140,0.8,0.0189
40,0.1,170,0.6,0.1019
90,0.1,140,0.1,0.0275
65,0.2,140,0.7,0.0196
90,0.2,140,0.5,0.082
65,0.3,170,0.5,0.0689
90,0.3,140,0.7,0.0271
65,0.2,140,0.4,0.0725
40,0.3,140,0.1,0.0308
90,0.2,170,0.2,0.0558
65,0.2,200,0.5,0.094
40,0.2,200,0.8,0.0682
90,0.1,140,0.8,0.0161
90,0.3,140,0.1,0.0299
90,0.2,170,0.7,0.0416
90,0.1,200,0.6,0.075
90,0.1,140,0.2,0.0526
40,0.2,170,0.5,0.0954
